userID 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020
"Aad Versteden" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Aalt D. J. van Dijk" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Aamir Anis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Aamir Manaswala" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Aamir Mansawala" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Aapo Hyvärinen" 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 1 1 1
"Aapo Kyrola" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Aaron Adler" 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0
"Aaron Archer" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0
"Aaron B. Adcock" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Aaron Bostrom" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Aaron Burry" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0
"Aaron C. Courville" 0 0 0 0 0 0 0 1 0 0 0 1 1 2 1 1 4 6 4 2 3
"Aaron Cahn" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Aaron Call" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"Aaron Ceglar" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aaron Chan" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"Aaron Chu" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"Aaron Clauset" 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0
"Aaron Crawford" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
"Aaron D'Souza" 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aaron Davidson" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Aaron Defazio" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1
"Aaron Eberhart" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Aaron Elkiss" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aaron F. Bobick" 1 1 0 0 3 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Aaron Feng" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Aaron Fenster" 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0
"Aaron Fernandes" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aaron Flores" 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 2
"Aaron Gage" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aaron Gerow" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Aaron Halfaker" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0
"Aaron Harwood" 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0
"Aaron Heller" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Aaron Hertzmann" 1 0 0 1 0 0 0 2 0 0 0 0 0 0 1 0 1 1 0 1 1
"Aaron Huber" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Aaron Hunter" 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 3 0 1 0 0 1
"Aaron Isaksen" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0
"Aaron J. Elmore" 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 3 2 3
"Aaron Johnson" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Aaron Kershenbaum" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aaron Klein" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0
"Aaron Koolyk" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Aaron Krowne" 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Aaron Lawson" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Aaron Loh" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Aaron Lou" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Aaron M. Cohen" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1
"Aaron M. Ferber" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Aaron M. Smalter" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Aaron Magat" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Aaron Mannes" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"Aaron Maschinot" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"Aaron Michaux" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Aaron Michelony" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Aaron Mininger" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0
"Aaron Mishtal" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Aaron N. Kaplan" 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
"Aaron N. Richter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Aaron Nech" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Aaron Netz" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Aaron Nicolson" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Aaron P. Shon" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aaron Parker" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"Aaron Q. Li" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Aaron Randall Tuor" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"Aaron Roth 0001" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 2 2 1 1
"Aaron S. Crandall" 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
"Aaron Sarna" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1
"Aaron Schein" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0
"Aaron Schlenker" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1
"Aaron Shagrin" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"Aaron Sidford" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 1 0 0 0
"Aaron Silver" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Aaron Sipser" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Aaron Sloman" 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aaron Spaulding" 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0
"Aaron Springer" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0
"Aaron St. Clair" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
"Aaron Staple" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Aaron Steele" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Aaron Steinfeld" 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0
"Aaron Strauss" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"Aaron Tuor" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1
"Aaron Urasky" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Aaron W. Calhoun" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0
"Aaron W. Dennis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0
"Aaron W. Li" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Aaron Wetzler" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
"Aaron Wilson" 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0
"Aaron Wolin" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"Aaron Zweig" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Aart J. C. Bik" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"Aarti Gupta" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aarti Malhotra" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
"Aarti Sathyanarayana" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
"Aarti Singh" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 2 0 0
"Aarón Chávez" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"Abbas Abdolmaleki" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1
"Abbas Bigdeli" 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
"Abbas Javadtalab" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Abbas Mehrabian" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"Abbas Rafii" 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
"Abbas Sadat" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Abbas Seifi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"Abbas Z. Kouzani" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"Abbie Barbir" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Abby Stylianou" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0
"Abby Van Soest" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Abd El Rahman Shabayek" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"Abdallah A. Mohamed" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
"Abdallah Arioua" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"Abdallah Benzine" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Abdallah Makhoul" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Abdallah Saffidine" 0 0 0 0 0 0 0 0 0 0 0 1 1 2 1 0 1 2 3 0 0
"Abdallah Salama" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0
"Abdeslam Boularias" 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 2 1 0 2 0 0
"Abdou S. Youssef" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Abdou Youssef" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0
"Abdul Fatir Ansari" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
"Abdul Majid" 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Abdul Mannan" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"Abdul Muntakim Rafi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Abdul Nurunnabi" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Abdul Q. Munir" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Abdul Quamar" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2
"Abdul Rahman" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Abdul Rahman Dannaoui" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Abdul Razak" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0
"Abdul Sattar 0001" 0 0 0 0 0 3 0 3 1 0 0 0 1 2 0 1 0 1 0 0 0
"Abdul Serwadda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Abdul Wasay" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Abdulah Fawaz" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Abdulhakim Ali Qahtan" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 4 1 0
"Abdulkadir Çelikkanat" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Abdullah A. Alamoudi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"Abdullah Al Mamun 0002" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Abdullah Al-Dujaili" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1
"Abdullah Al-Hamdani" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Abdullah Aleem" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Abdullah Alfarrarjeh" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
"Abdullah Alfazi" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Abdullah Alshehri 0001" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Abdullah Aref" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
"Abdullah Hamdi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
