userID gender age occupation
2779 M 35-44 executive/managerial
2780 M 25-34 technician/engineer
2781 M 35-44 "college/grad student"
2782 F 18-24 "college/grad student"
2783 M 45-49 technician/engineer
2784 M 50-55 writer
2785 M 56+ retired
2786 M 25-34 "college/grad student"
2787 M 25-34 "college/grad student"
2788 M 56+ academic/educator
2789 M 18-24 "college/grad student"
2790 M 25-34 writer
2791 M 56+ executive/managerial
2792 M 18-24 "college/grad student"
2793 M 35-44 executive/managerial
2794 M 25-34 artist
2795 M 50-55 retired
2796 M 25-34 sales/marketing
2797 F 25-34 executive/managerial
2798 M 35-44 writer
2799 M 18-24 other
2800 F 18-24 "college/grad student"
2801 F 25-34 clerical/admin
2802 M 35-44 writer
2803 M 25-34 executive/managerial
2804 F 35-44 other
2805 M 56+ unemployed
2806 M "Under 18" "K-12 student"
2807 F 35-44 lawyer
2808 M 56+ self-employed
2809 M 25-34 executive/managerial
2810 F "Under 18" "K-12 student"
2811 M 25-34 unemployed
2812 M 25-34 technician/engineer
2813 M 25-34 writer
2814 M 35-44 executive/managerial
2815 M 35-44 technician/engineer
2816 M 25-34 executive/managerial
2817 M 35-44 programmer
2818 M 25-34 programmer
2819 M 45-49 sales/marketing
2820 F 35-44 other
2821 M 18-24 writer
2822 M 50-55 executive/managerial
2823 M 25-34 "college/grad student"
2824 M 18-24 "college/grad student"
2825 F 25-34 writer
2826 M 35-44 programmer
2827 M 25-34 technician/engineer
2828 M 18-24 "college/grad student"
2829 M 45-49 writer
2830 M 35-44 executive/managerial
2831 M 25-34 other
2832 M 25-34 technician/engineer
2833 M 25-34 scientist
2834 M 35-44 academic/educator
2835 M 35-44 writer
2836 M 25-34 programmer
2837 M 18-24 other
2838 M 18-24 academic/educator
2839 M 25-34 technician/engineer
2840 M 25-34 other
2841 M 50-55 programmer
2842 M 35-44 technician/engineer
2843 F 25-34 "college/grad student"
2844 M 25-34 writer
2845 M 25-34 "college/grad student"
2846 F 18-24 "college/grad student"
2847 M 18-24 "college/grad student"
2848 M 25-34 other
2849 M 45-49 lawyer
2850 M 18-24 writer
2851 F 25-34 executive/managerial
2852 M 25-34 programmer
2853 M "Under 18" academic/educator
2854 F 18-24 "college/grad student"
2855 M 25-34 "college/grad student"
2856 M 35-44 lawyer
2857 M 25-34 other
2858 F "Under 18" "K-12 student"
2859 M 18-24 academic/educator
2860 M 35-44 technician/engineer
2861 M 25-34 scientist
2862 M 45-49 executive/managerial
2863 F 25-34 artist
2864 F 35-44 clerical/admin
2865 F 25-34 "doctor/health care"
