 may jun jul aug sep oct
2779 0.0 0.0 0.0 0.0 0.0 3.8
2780 0.0 0.0 0.0 0.0 0.0 3.7
2781 0.0 0.0 0.0 0.0 0.0 4.1
2782 0.0 0.0 0.0 0.0 0.0 3.7
2783 0.0 0.0 0.0 0.0 0.0 3.9
2784 0.0 0.0 0.0 0.0 0.0 3.7
2785 0.0 0.0 0.0 0.0 0.0 3.1
2786 0.0 0.0 0.0 0.0 0.0 4.1
2787 0.0 0.0 0.0 0.0 0.0 4.0
2788 0.0 0.0 0.0 0.0 0.0 4.4
2789 0.0 0.0 0.0 0.0 0.0 3.8
2790 0.0 0.0 0.0 0.0 0.0 4.2
2791 0.0 0.0 0.0 0.0 0.0 4.5
2792 0.0 0.0 0.0 0.0 0.0 3.1
2793 0.0 0.0 0.0 0.0 0.0 4.1
2794 0.0 0.0 0.0 0.0 0.0 3.8
2795 0.0 0.0 0.0 0.0 0.0 3.6
2796 0.0 0.0 0.0 0.0 0.0 3.2
2797 0.0 0.0 0.0 0.0 0.0 3.0
2798 0.0 0.0 0.0 0.0 0.0 4.1
2799 0.0 0.0 0.0 0.0 0.0 4.1
2800 0.0 0.0 0.0 0.0 0.0 3.5
2801 0.0 0.0 0.0 0.0 0.0 3.2
2802 0.0 0.0 0.0 0.0 0.0 3.4
2803 0.0 0.0 0.0 0.0 0.0 3.6
2804 0.0 0.0 0.0 0.0 0.0 3.9
2805 0.0 0.0 0.0 0.0 0.0 3.9
2806 0.0 0.0 0.0 0.0 0.0 3.3
2807 0.0 0.0 0.0 0.0 0.0 3.4
2808 0.0 0.0 0.0 0.0 0.0 4.2
2809 0.0 0.0 0.0 0.0 0.0 4.6
2810 0.0 0.0 0.0 0.0 0.0 3.7
2811 0.0 0.0 0.0 0.0 0.0 3.7
2812 0.0 0.0 0.0 0.0 0.0 3.6
2813 0.0 0.0 0.0 0.0 0.0 3.0
2814 0.0 0.0 0.0 0.0 0.0 4.3
2815 0.0 0.0 0.0 0.0 0.0 3.7
2816 0.0 0.0 0.0 0.0 0.0 3.8
2817 0.0 0.0 0.0 0.0 0.0 4.2
2818 0.0 0.0 0.0 0.0 0.0 3.6
2819 0.0 0.0 0.0 0.0 0.0 3.9
2820 0.0 0.0 0.0 0.0 0.0 2.9
2821 0.0 0.0 0.0 0.0 0.0 3.6
2822 0.0 0.0 0.0 0.0 0.0 4.2
2823 0.0 0.0 0.0 0.0 0.0 2.9
2824 0.0 0.0 0.0 0.0 0.0 3.8
2825 0.0 0.0 0.0 0.0 0.0 3.9
2826 0.0 0.0 0.0 0.0 0.0 3.7
2827 0.0 0.0 0.0 0.0 0.0 3.2
2828 0.0 0.0 0.0 0.0 0.0 4.0
2829 0.0 0.0 0.0 0.0 0.0 2.9
2830 0.0 0.0 0.0 0.0 0.0 3.4
2831 0.0 0.0 0.0 0.0 0.0 4.2
2832 0.0 0.0 0.0 0.0 0.0 4.1
2833 0.0 0.0 0.0 0.0 0.0 3.3
2834 0.0 0.0 0.0 0.0 0.0 4.2
2835 0.0 0.0 0.0 0.0 0.0 3.9
2836 0.0 0.0 0.0 0.0 0.0 3.4
2837 0.0 0.0 0.0 0.0 0.0 3.3
2838 0.0 0.0 0.0 0.0 0.0 4.5
2839 0.0 0.0 0.0 0.0 0.0 3.3
2840 0.0 0.0 0.0 0.0 0.0 3.0
2841 0.0 0.0 0.0 0.0 0.0 4.2
2842 0.0 0.0 0.0 0.0 0.0 3.6
2843 0.0 0.0 0.0 0.0 0.0 2.8
2844 0.0 0.0 0.0 0.0 0.0 3.3
2845 0.0 0.0 0.0 0.0 0.0 3.9
2846 0.0 0.0 0.0 0.0 0.0 3.3
2847 0.0 0.0 0.0 0.0 0.0 3.0
2848 0.0 0.0 0.0 0.0 0.0 3.3
2849 0.0 0.0 0.0 0.0 0.0 4.5
2850 0.0 0.0 0.0 0.0 0.0 2.8
2851 0.0 0.0 0.0 0.0 0.0 3.6
2852 0.0 0.0 0.0 0.0 0.0 4.1
2853 0.0 0.0 0.0 0.0 0.0 3.5
2854 0.0 0.0 0.0 0.0 0.0 3.1
2855 0.0 0.0 0.0 0.0 0.0 2.9
2856 0.0 0.0 0.0 0.0 0.0 3.5
2857 0.0 0.0 0.0 0.0 0.0 3.2
2858 0.0 0.0 0.0 0.0 0.0 3.7
2859 0.0 0.0 0.0 0.0 0.0 3.8
2860 0.0 0.0 0.0 0.0 0.0 4.0
2861 0.0 0.0 0.0 0.0 0.0 3.4
2862 0.0 0.0 0.0 0.0 0.0 4.0
2863 0.0 0.0 0.0 0.0 0.0 3.6
2864 0.0 0.0 0.0 0.0 0.0 3.3
2865 0.0 0.0 0.0 0.0 0.0 3.7
2866 0.0 0.0 0.0 0.0 0.0 3.4
2867 0.0 0.0 0.0 0.0 0.0 4.2
2868 0.0 0.0 0.0 0.0 0.0 3.5
2869 0.0 0.0 0.0 0.0 0.0 3.7
2870 0.0 0.0 0.0 0.0 0.0 2.9
2871 0.0 0.0 0.0 0.0 0.0 3.6
2872 0.0 0.0 0.0 0.0 0.0 3.7
2873 0.0 0.0 0.0 0.0 0.0 3.6
2874 0.0 0.0 0.0 0.0 0.0 3.9
2875 0.0 0.0 0.0 0.0 0.0 4.3
2876 0.0 0.0 0.0 0.0 0.0 3.9
2877 0.0 0.0 0.0 0.0 0.0 3.5
2878 0.0 0.0 0.0 0.0 0.0 3.7
2879 0.0 0.0 0.0 0.0 0.0 4.0
2880 0.0 0.0 0.0 0.0 0.0 3.2
2881 0.0 0.0 0.0 0.0 0.0 3.8
2882 0.0 0.0 0.0 0.0 0.0 3.2
2883 0.0 0.0 0.0 0.0 0.0 2.7
2884 0.0 0.0 0.0 0.0 0.0 4.2
2885 0.0 0.0 0.0 0.0 0.0 4.1
2886 0.0 0.0 0.0 0.0 0.0 3.9
2887 0.0 0.0 0.0 0.0 0.0 3.6
2888 0.0 0.0 0.0 0.0 0.0 3.5
2889 0.0 0.0 0.0 0.0 0.0 3.8
2890 0.0 0.0 0.0 0.0 0.0 3.5
2891 0.0 0.0 0.0 0.0 0.0 3.4
2892 0.0 0.0 0.0 0.0 0.0 3.8
2893 0.0 0.0 0.0 0.0 0.0 3.9
2894 0.0 0.0 0.0 0.0 0.0 3.9
2895 0.0 0.0 0.0 0.0 0.0 3.7
2896 0.0 0.0 0.0 0.0 0.0 3.6
2897 0.0 0.0 0.0 0.0 0.0 3.6
2898 0.0 0.0 0.0 0.0 0.0 3.9
2899 0.0 0.0 0.0 0.0 0.0 4.0
2900 0.0 0.0 0.0 0.0 0.0 4.0
2901 0.0 0.0 0.0 0.0 0.0 4.3
2902 0.0 0.0 0.0 0.0 0.0 3.9
2903 0.0 0.0 0.0 0.0 0.0 4.1
2904 0.0 0.0 0.0 0.0 0.0 4.0
2905 0.0 0.0 0.0 0.0 0.0 3.8
2906 0.0 0.0 0.0 0.0 0.0 3.4
2907 0.0 0.0 0.0 0.0 0.0 3.3
2908 0.0 0.0 0.0 0.0 0.0 3.8
2909 0.0 0.0 0.0 0.0 0.0 3.9
2911 0.0 0.0 0.0 0.0 0.0 3.9
2912 0.0 0.0 0.0 0.0 0.0 2.6
2913 0.0 0.0 0.0 0.0 0.0 4.0
2914 0.0 0.0 0.0 0.0 0.0 4.5
2915 0.0 0.0 0.0 0.0 0.0 3.8
2916 0.0 0.0 0.0 0.0 0.0 3.7
2917 0.0 0.0 0.0 0.0 0.0 3.1
2918 0.0 0.0 0.0 0.0 0.0 4.2
2919 0.0 0.0 0.0 0.0 0.0 3.7
2920 0.0 0.0 0.0 0.0 0.0 3.5
2921 0.0 0.0 0.0 0.0 0.0 3.3
2922 0.0 0.0 0.0 0.0 0.0 4.5
2923 0.0 0.0 0.0 0.0 0.0 4.0
2924 0.0 0.0 0.0 0.0 0.0 4.0
2925 0.0 0.0 0.0 0.0 0.0 4.0
2926 0.0 0.0 0.0 0.0 0.0 3.2
2927 0.0 0.0 0.0 0.0 0.0 3.8
2928 0.0 0.0 0.0 0.0 0.0 3.8
2929 0.0 0.0 0.0 0.0 0.0 3.9
2930 0.0 0.0 0.0 0.0 0.0 3.4
2931 0.0 0.0 0.0 0.0 0.0 3.6
2932 0.0 0.0 0.0 0.0 0.0 3.9
2933 0.0 0.0 0.0 0.0 0.0 3.8
2934 0.0 0.0 0.0 0.0 0.0 3.3
2935 0.0 0.0 0.0 0.0 0.0 3.5
2936 0.0 0.0 0.0 0.0 0.0 4.4
2937 0.0 0.0 0.0 0.0 0.0 3.5
2938 0.0 0.0 0.0 0.0 0.0 3.9
2939 0.0 0.0 0.0 0.0 0.0 3.8
2940 0.0 0.0 0.0 0.0 0.0 3.5
2941 0.0 0.0 0.0 0.0 0.0 3.5
2942 0.0 0.0 0.0 0.0 0.0 4.5
2943 0.0 0.0 0.0 0.0 0.0 4.4
2944 0.0 0.0 0.0 0.0 0.0 4.9
2945 0.0 0.0 0.0 0.0 0.0 3.8
2946 0.0 0.0 0.0 0.0 0.0 3.0
2948 0.0 0.0 0.0 0.0 0.0 4.0
2949 0.0 0.0 0.0 0.0 0.0 3.8
2950 0.0 0.0 0.0 0.0 0.0 3.1
2951 0.0 0.0 0.0 0.0 0.0 4.2
2952 0.0 0.0 0.0 0.0 0.0 4.2
2953 0.0 0.0 0.0 0.0 0.0 3.2
2954 0.0 0.0 0.0 0.0 0.0 3.9
2955 0.0 0.0 0.0 0.0 0.0 3.2
2956 0.0 0.0 0.0 0.0 0.0 3.5
2957 0.0 0.0 0.0 0.0 0.0 4.5
2958 0.0 0.0 0.0 0.0 0.0 3.0
2959 0.0 0.0 0.0 0.0 0.0 4.0
2960 0.0 0.0 0.0 0.0 0.0 4.0
2961 0.0 0.0 0.0 0.0 0.0 4.0
2962 0.0 0.0 0.0 0.0 0.0 3.0
2963 0.0 0.0 0.0 0.0 0.0 4.0
2964 0.0 0.0 0.0 0.0 0.0 3.6
2965 0.0 0.0 0.0 0.0 0.0 3.6
2966 0.0 0.0 0.0 0.0 0.0 4.1
2967 0.0 0.0 0.0 0.0 0.0 3.5
2968 0.0 0.0 0.0 0.0 0.0 3.8
2969 0.0 0.0 0.0 0.0 0.0 4.0
2970 0.0 0.0 0.0 0.0 0.0 4.3
2971 0.0 0.0 0.0 0.0 0.0 3.8
2972 0.0 0.0 0.0 0.0 0.0 3.5
2973 0.0 0.0 0.0 0.0 0.0 3.4
2974 0.0 0.0 0.0 0.0 0.0 4.3
